departamentocode,fecha,sexo,etapa_de_vida,positivo,fallecido
PE-AMA,2020-04-01,FEMENINO,ADOLESCENTE,2,0.0
PE-AMA,2020-04-01,FEMENINO,ADULTO,48,0.0
PE-AMA,2020-04-01,FEMENINO,JOVEN,14,0.0
PE-AMA,2020-04-01,FEMENINO,MAYOR,6,1.0
PE-AMA,2020-04-01,FEMENINO,NIÑO,4,0.0
PE-AMA,2020-04-01,MASCULINO,ADOLESCENTE,9,1.0
PE-AMA,2020-04-01,MASCULINO,ADULTO,44,0.0
PE-AMA,2020-04-01,MASCULINO,JOVEN,16,0.0
PE-AMA,2020-04-01,MASCULINO,MAYOR,3,0.0
PE-AMA,2020-04-01,MASCULINO,NIÑO,4,0.0
PE-AMA,2020-05-01,FEMENINO,ADOLESCENTE,18,2.0
PE-AMA,2020-05-01,FEMENINO,ADULTO,156,5.0
PE-AMA,2020-05-01,FEMENINO,JOVEN,43,0.0
PE-AMA,2020-05-01,FEMENINO,MAYOR,17,2.0
PE-AMA,2020-05-01,FEMENINO,NIÑO,9,0.0
PE-AMA,2020-05-01,MASCULINO,ADOLESCENTE,20,0.0
PE-AMA,2020-05-01,MASCULINO,ADULTO,192,9.0
PE-AMA,2020-05-01,MASCULINO,JOVEN,83,2.0
PE-AMA,2020-05-01,MASCULINO,MAYOR,22,14.0
PE-AMA,2020-05-01,MASCULINO,NIÑO,5,1.0
PE-AMA,2020-06-01,FEMENINO,ADOLESCENTE,50,0.0
PE-AMA,2020-06-01,FEMENINO,ADULTO,383,6.0
PE-AMA,2020-06-01,FEMENINO,JOVEN,131,1.0
PE-AMA,2020-06-01,FEMENINO,MAYOR,88,17.0
PE-AMA,2020-06-01,FEMENINO,NIÑO,32,0.0
PE-AMA,2020-06-01,MASCULINO,ADOLESCENTE,44,0.0
PE-AMA,2020-06-01,MASCULINO,ADULTO,486,15.0
PE-AMA,2020-06-01,MASCULINO,JOVEN,199,2.0
PE-AMA,2020-06-01,MASCULINO,MAYOR,116,55.0
PE-AMA,2020-06-01,MASCULINO,NIÑO,36,0.0
PE-AMA,2020-07-01,FEMENINO,ADOLESCENTE,155,0.0
PE-AMA,2020-07-01,FEMENINO,ADULTO,1091,20.0
PE-AMA,2020-07-01,FEMENINO,JOVEN,408,7.0
PE-AMA,2020-07-01,FEMENINO,MAYOR,191,36.0
PE-AMA,2020-07-01,FEMENINO,NIÑO,68,0.0
PE-AMA,2020-07-01,MASCULINO,ADOLESCENTE,125,0.0
PE-AMA,2020-07-01,MASCULINO,ADULTO,1129,44.0
PE-AMA,2020-07-01,MASCULINO,JOVEN,349,3.0
PE-AMA,2020-07-01,MASCULINO,MAYOR,278,97.0
PE-AMA,2020-07-01,MASCULINO,NIÑO,72,1.0
PE-AMA,2020-08-01,FEMENINO,ADOLESCENTE,279,1.0
PE-AMA,2020-08-01,FEMENINO,ADULTO,1413,11.0
PE-AMA,2020-08-01,FEMENINO,JOVEN,575,1.0
PE-AMA,2020-08-01,FEMENINO,MAYOR,341,19.0
PE-AMA,2020-08-01,FEMENINO,NIÑO,133,2.0
PE-AMA,2020-08-01,MASCULINO,ADOLESCENTE,164,2.0
PE-AMA,2020-08-01,MASCULINO,ADULTO,1082,14.0
PE-AMA,2020-08-01,MASCULINO,JOVEN,365,0.0
PE-AMA,2020-08-01,MASCULINO,MAYOR,309,39.0
PE-AMA,2020-08-01,MASCULINO,NIÑO,124,0.0
PE-AMA,2020-09-01,FEMENINO,ADOLESCENTE,218,0.0
PE-AMA,2020-09-01,FEMENINO,ADULTO,955,12.0
PE-AMA,2020-09-01,FEMENINO,JOVEN,399,0.0
PE-AMA,2020-09-01,FEMENINO,MAYOR,324,20.0
PE-AMA,2020-09-01,FEMENINO,NIÑO,123,1.0
PE-AMA,2020-09-01,MASCULINO,ADOLESCENTE,158,0.0
PE-AMA,2020-09-01,MASCULINO,ADULTO,684,15.0
PE-AMA,2020-09-01,MASCULINO,JOVEN,215,1.0
PE-AMA,2020-09-01,MASCULINO,MAYOR,255,28.0
PE-AMA,2020-09-01,MASCULINO,NIÑO,117,1.0
PE-AMA,2020-10-01,FEMENINO,ADOLESCENTE,139,0.0
PE-AMA,2020-10-01,FEMENINO,ADULTO,377,4.0
PE-AMA,2020-10-01,FEMENINO,JOVEN,217,0.0
PE-AMA,2020-10-01,FEMENINO,MAYOR,123,11.0
PE-AMA,2020-10-01,FEMENINO,NIÑO,33,0.0
PE-AMA,2020-10-01,MASCULINO,ADOLESCENTE,64,0.0
PE-AMA,2020-10-01,MASCULINO,ADULTO,313,6.0
PE-AMA,2020-10-01,MASCULINO,JOVEN,125,2.0
PE-AMA,2020-10-01,MASCULINO,MAYOR,94,12.0
PE-AMA,2020-10-01,MASCULINO,NIÑO,45,0.0
PE-AMA,2020-11-01,FEMENINO,ADOLESCENTE,51,1.0
PE-AMA,2020-11-01,FEMENINO,ADULTO,196,4.0
PE-AMA,2020-11-01,FEMENINO,JOVEN,107,0.0
PE-AMA,2020-11-01,FEMENINO,MAYOR,57,2.0
PE-AMA,2020-11-01,FEMENINO,NIÑO,18,0.0
PE-AMA,2020-11-01,MASCULINO,ADOLESCENTE,27,0.0
PE-AMA,2020-11-01,MASCULINO,ADULTO,151,4.0
PE-AMA,2020-11-01,MASCULINO,JOVEN,82,1.0
PE-AMA,2020-11-01,MASCULINO,MAYOR,65,13.0
PE-AMA,2020-11-01,MASCULINO,NIÑO,15,1.0
PE-AMA,2020-12-01,FEMENINO,ADOLESCENTE,27,1.0
PE-AMA,2020-12-01,FEMENINO,ADULTO,102,1.0
PE-AMA,2020-12-01,FEMENINO,JOVEN,59,1.0
PE-AMA,2020-12-01,FEMENINO,MAYOR,30,11.0
PE-AMA,2020-12-01,FEMENINO,NIÑO,7,0.0
PE-AMA,2020-12-01,MASCULINO,ADOLESCENTE,9,0.0
PE-AMA,2020-12-01,MASCULINO,ADULTO,93,0.0
PE-AMA,2020-12-01,MASCULINO,JOVEN,43,0.0
PE-AMA,2020-12-01,MASCULINO,MAYOR,27,10.0
PE-AMA,2020-12-01,MASCULINO,NIÑO,7,1.0
PE-AMA,2021-01-01,FEMENINO,ADOLESCENTE,36,0.0
PE-AMA,2021-01-01,FEMENINO,ADULTO,315,4.0
PE-AMA,2021-01-01,FEMENINO,JOVEN,124,0.0
PE-AMA,2021-01-01,FEMENINO,MAYOR,94,18.0
PE-AMA,2021-01-01,FEMENINO,NIÑO,6,0.0
PE-AMA,2021-01-01,MASCULINO,ADOLESCENTE,38,0.0
PE-AMA,2021-01-01,MASCULINO,ADULTO,283,2.0
PE-AMA,2021-01-01,MASCULINO,JOVEN,101,1.0
PE-AMA,2021-01-01,MASCULINO,MAYOR,88,24.0
PE-AMA,2021-01-01,MASCULINO,NIÑO,8,1.0
PE-AMA,2021-02-01,FEMENINO,ADOLESCENTE,41,0.0
PE-AMA,2021-02-01,FEMENINO,ADULTO,407,8.0
PE-AMA,2021-02-01,FEMENINO,JOVEN,183,0.0
PE-AMA,2021-02-01,FEMENINO,MAYOR,97,23.0
PE-AMA,2021-02-01,FEMENINO,NIÑO,5,0.0
PE-AMA,2021-02-01,MASCULINO,ADOLESCENTE,32,0.0
PE-AMA,2021-02-01,MASCULINO,ADULTO,386,18.0
PE-AMA,2021-02-01,MASCULINO,JOVEN,166,0.0
PE-AMA,2021-02-01,MASCULINO,MAYOR,117,33.0
PE-AMA,2021-02-01,MASCULINO,NIÑO,6,0.0
PE-AMA,2021-03-01,FEMENINO,ADOLESCENTE,77,0.0
PE-AMA,2021-03-01,FEMENINO,ADULTO,520,10.0
PE-AMA,2021-03-01,FEMENINO,JOVEN,248,0.0
PE-AMA,2021-03-01,FEMENINO,MAYOR,163,24.0
PE-AMA,2021-03-01,FEMENINO,NIÑO,12,2.0
PE-AMA,2021-03-01,MASCULINO,ADOLESCENTE,68,1.0
PE-AMA,2021-03-01,MASCULINO,ADULTO,526,16.0
PE-AMA,2021-03-01,MASCULINO,JOVEN,197,1.0
PE-AMA,2021-03-01,MASCULINO,MAYOR,169,34.0
PE-AMA,2021-03-01,MASCULINO,NIÑO,10,1.0
PE-AMA,2021-04-01,FEMENINO,ADOLESCENTE,124,0.0
PE-AMA,2021-04-01,FEMENINO,ADULTO,830,13.0
PE-AMA,2021-04-01,FEMENINO,JOVEN,335,0.0
PE-AMA,2021-04-01,FEMENINO,MAYOR,282,45.0
PE-AMA,2021-04-01,FEMENINO,NIÑO,25,0.0
PE-AMA,2021-04-01,MASCULINO,ADOLESCENTE,100,0.0
PE-AMA,2021-04-01,MASCULINO,ADULTO,870,38.0
PE-AMA,2021-04-01,MASCULINO,JOVEN,266,2.0
PE-AMA,2021-04-01,MASCULINO,MAYOR,286,53.0
PE-AMA,2021-04-01,MASCULINO,NIÑO,20,1.0
PE-AMA,2021-05-01,FEMENINO,ADOLESCENTE,78,0.0
PE-AMA,2021-05-01,FEMENINO,ADULTO,581,17.0
PE-AMA,2021-05-01,FEMENINO,JOVEN,207,0.0
PE-AMA,2021-05-01,FEMENINO,MAYOR,181,32.0
PE-AMA,2021-05-01,FEMENINO,NIÑO,12,1.0
PE-AMA,2021-05-01,MASCULINO,ADOLESCENTE,58,0.0
PE-AMA,2021-05-01,MASCULINO,ADULTO,553,44.0
PE-AMA,2021-05-01,MASCULINO,JOVEN,184,1.0
PE-AMA,2021-05-01,MASCULINO,MAYOR,226,64.0
PE-AMA,2021-05-01,MASCULINO,NIÑO,13,0.0
PE-AMA,2021-06-01,FEMENINO,ADOLESCENTE,59,1.0
PE-AMA,2021-06-01,FEMENINO,ADULTO,362,9.0
PE-AMA,2021-06-01,FEMENINO,JOVEN,166,1.0
PE-AMA,2021-06-01,FEMENINO,MAYOR,97,15.0
PE-AMA,2021-06-01,FEMENINO,NIÑO,12,0.0
PE-AMA,2021-06-01,MASCULINO,ADOLESCENTE,38,0.0
PE-AMA,2021-06-01,MASCULINO,ADULTO,322,12.0
PE-AMA,2021-06-01,MASCULINO,JOVEN,103,0.0
PE-AMA,2021-06-01,MASCULINO,MAYOR,117,27.0
PE-AMA,2021-06-01,MASCULINO,NIÑO,11,1.0
PE-AMA,2021-07-01,FEMENINO,ADOLESCENTE,30,0.0
PE-AMA,2021-07-01,FEMENINO,ADULTO,233,2.0
PE-AMA,2021-07-01,FEMENINO,JOVEN,77,0.0
PE-AMA,2021-07-01,FEMENINO,MAYOR,58,11.0
PE-AMA,2021-07-01,FEMENINO,NIÑO,9,0.0
PE-AMA,2021-07-01,MASCULINO,ADOLESCENTE,32,0.0
PE-AMA,2021-07-01,MASCULINO,ADULTO,211,14.0
PE-AMA,2021-07-01,MASCULINO,JOVEN,53,0.0
PE-AMA,2021-07-01,MASCULINO,MAYOR,37,18.0
PE-AMA,2021-07-01,MASCULINO,NIÑO,13,0.0
PE-AMA,2021-08-01,FEMENINO,ADOLESCENTE,19,0.0
PE-AMA,2021-08-01,FEMENINO,ADULTO,116,1.0
PE-AMA,2021-08-01,FEMENINO,JOVEN,42,0.0
PE-AMA,2021-08-01,FEMENINO,MAYOR,27,7.0
PE-AMA,2021-08-01,FEMENINO,NIÑO,7,0.0
PE-AMA,2021-08-01,MASCULINO,ADOLESCENTE,34,1.0
PE-AMA,2021-08-01,MASCULINO,ADULTO,121,4.0
PE-AMA,2021-08-01,MASCULINO,JOVEN,45,0.0
PE-AMA,2021-08-01,MASCULINO,MAYOR,24,10.0
PE-AMA,2021-08-01,MASCULINO,NIÑO,2,0.0
PE-AMA,2021-09-01,FEMENINO,ADOLESCENTE,14,0.0
PE-AMA,2021-09-01,FEMENINO,ADULTO,105,0.0
PE-AMA,2021-09-01,FEMENINO,JOVEN,48,0.0
PE-AMA,2021-09-01,FEMENINO,MAYOR,23,7.0
PE-AMA,2021-09-01,FEMENINO,NIÑO,6,0.0
PE-AMA,2021-09-01,MASCULINO,ADOLESCENTE,15,0.0
PE-AMA,2021-09-01,MASCULINO,ADULTO,104,0.0
PE-AMA,2021-09-01,MASCULINO,JOVEN,37,0.0
PE-AMA,2021-09-01,MASCULINO,MAYOR,32,6.0
PE-AMA,2021-09-01,MASCULINO,NIÑO,2,0.0
PE-AMA,2021-10-01,FEMENINO,ADOLESCENTE,23,0.0
PE-AMA,2021-10-01,FEMENINO,ADULTO,70,2.0
PE-AMA,2021-10-01,FEMENINO,JOVEN,60,0.0
PE-AMA,2021-10-01,FEMENINO,MAYOR,37,4.0
PE-AMA,2021-10-01,FEMENINO,NIÑO,8,0.0
PE-AMA,2021-10-01,MASCULINO,ADOLESCENTE,19,0.0
PE-AMA,2021-10-01,MASCULINO,ADULTO,57,1.0
PE-AMA,2021-10-01,MASCULINO,JOVEN,61,0.0
PE-AMA,2021-10-01,MASCULINO,MAYOR,35,0.0
PE-AMA,2021-10-01,MASCULINO,NIÑO,7,0.0
PE-AMA,2021-11-01,FEMENINO,ADOLESCENTE,28,0.0
PE-AMA,2021-11-01,FEMENINO,ADULTO,108,0.0
PE-AMA,2021-11-01,FEMENINO,JOVEN,49,0.0
PE-AMA,2021-11-01,FEMENINO,MAYOR,31,0.0
PE-AMA,2021-11-01,FEMENINO,NIÑO,2,1.0
PE-AMA,2021-11-01,MASCULINO,ADOLESCENTE,33,0.0
PE-AMA,2021-11-01,MASCULINO,ADULTO,117,0.0
PE-AMA,2021-11-01,MASCULINO,JOVEN,46,1.0
PE-AMA,2021-11-01,MASCULINO,MAYOR,38,2.0
PE-AMA,2021-11-01,MASCULINO,NIÑO,10,0.0
PE-AMA,2021-12-01,FEMENINO,ADOLESCENTE,31,0.0
PE-AMA,2021-12-01,FEMENINO,ADULTO,219,1.0
PE-AMA,2021-12-01,FEMENINO,JOVEN,96,0.0
PE-AMA,2021-12-01,FEMENINO,MAYOR,62,4.0
PE-AMA,2021-12-01,FEMENINO,NIÑO,7,0.0
PE-AMA,2021-12-01,MASCULINO,ADOLESCENTE,22,0.0
PE-AMA,2021-12-01,MASCULINO,ADULTO,210,2.0
PE-AMA,2021-12-01,MASCULINO,JOVEN,52,0.0
PE-AMA,2021-12-01,MASCULINO,MAYOR,44,6.0
PE-AMA,2021-12-01,MASCULINO,NIÑO,10,0.0
PE-AMA,2022-01-01,FEMENINO,ADOLESCENTE,308,0.0
PE-AMA,2022-01-01,FEMENINO,ADULTO,1925,0.0
PE-AMA,2022-01-01,FEMENINO,JOVEN,1027,0.0
PE-AMA,2022-01-01,FEMENINO,MAYOR,365,6.0
PE-AMA,2022-01-01,FEMENINO,NIÑO,77,0.0
PE-AMA,2022-01-01,MASCULINO,ADOLESCENTE,256,0.0
PE-AMA,2022-01-01,MASCULINO,ADULTO,1728,3.0
PE-AMA,2022-01-01,MASCULINO,JOVEN,659,0.0
PE-AMA,2022-01-01,MASCULINO,MAYOR,383,15.0
PE-AMA,2022-01-01,MASCULINO,NIÑO,72,1.0
PE-AMA,2022-02-01,FEMENINO,ADOLESCENTE,175,1.0
PE-AMA,2022-02-01,FEMENINO,ADULTO,921,2.0
PE-AMA,2022-02-01,FEMENINO,JOVEN,435,1.0
PE-AMA,2022-02-01,FEMENINO,MAYOR,240,9.0
PE-AMA,2022-02-01,FEMENINO,NIÑO,65,0.0
PE-AMA,2022-02-01,MASCULINO,ADOLESCENTE,136,0.0
PE-AMA,2022-02-01,MASCULINO,ADULTO,682,2.0
PE-AMA,2022-02-01,MASCULINO,JOVEN,313,0.0
PE-AMA,2022-02-01,MASCULINO,MAYOR,236,10.0
PE-AMA,2022-02-01,MASCULINO,NIÑO,75,1.0
PE-AMA,2022-03-01,FEMENINO,ADOLESCENTE,23,0.0
PE-AMA,2022-03-01,FEMENINO,ADULTO,99,0.0
PE-AMA,2022-03-01,FEMENINO,JOVEN,43,0.0
PE-AMA,2022-03-01,FEMENINO,MAYOR,24,0.0
PE-AMA,2022-03-01,FEMENINO,NIÑO,10,0.0
PE-AMA,2022-03-01,MASCULINO,ADOLESCENTE,26,1.0
PE-AMA,2022-03-01,MASCULINO,ADULTO,90,1.0
PE-AMA,2022-03-01,MASCULINO,JOVEN,59,0.0
PE-AMA,2022-03-01,MASCULINO,MAYOR,23,3.0
PE-AMA,2022-03-01,MASCULINO,NIÑO,7,0.0
PE-AMA,2022-04-01,FEMENINO,ADOLESCENTE,9,0.0
PE-AMA,2022-04-01,FEMENINO,ADULTO,10,1.0
PE-AMA,2022-04-01,FEMENINO,JOVEN,6,0.0
PE-AMA,2022-04-01,FEMENINO,MAYOR,7,2.0
PE-AMA,2022-04-01,MASCULINO,ADOLESCENTE,12,0.0
PE-AMA,2022-04-01,MASCULINO,ADULTO,7,0.0
PE-AMA,2022-04-01,MASCULINO,JOVEN,4,0.0
PE-AMA,2022-04-01,MASCULINO,MAYOR,5,1.0
PE-AMA,2022-04-01,MASCULINO,NIÑO,3,0.0
PE-AMA,2022-05-01,FEMENINO,ADOLESCENTE,3,0.0
PE-AMA,2022-05-01,FEMENINO,ADULTO,5,1.0
PE-AMA,2022-05-01,FEMENINO,MAYOR,1,1.0
PE-AMA,2022-05-01,FEMENINO,NIÑO,1,0.0
PE-AMA,2022-05-01,MASCULINO,ADOLESCENTE,1,0.0
PE-AMA,2022-05-01,MASCULINO,ADULTO,3,3.0
