paisCode,fecha,positivo,fallecido
ABW,2020-01-01,0.0,0.0
ABW,2020-02-01,0.0,0.0
ABW,2020-03-01,50.0,0.0
ABW,2020-04-01,50.0,2.0
ABW,2020-05-01,1.0,1.0
ABW,2020-06-01,0.0,0.0
ABW,2020-07-01,18.0,0.0
ABW,2020-08-01,1729.0,5.0
ABW,2020-09-01,2024.0,17.0
ABW,2020-10-01,600.0,12.0
ABW,2020-11-01,319.0,8.0
ABW,2020-12-01,582.0,4.0
ABW,2021-01-01,1485.0,9.0
ABW,2021-02-01,946.0,13.0
ABW,2021-03-01,1490.0,11.0
ABW,2021-04-01,1291.0,16.0
ABW,2021-05-01,372.0,9.0
ABW,2021-06-01,175.0,0.0
ABW,2021-07-01,452.0,2.0
ABW,2021-08-01,2881.0,28.0
ABW,2021-09-01,983.0,29.0
ABW,2021-10-01,487.0,5.0
ABW,2021-11-01,442.0,3.0
ABW,2021-12-01,2697.0,7.0
ABW,2022-01-01,13697.0,12.0
ABW,2022-02-01,937.0,18.0
ABW,2022-03-01,311.0,1.0
ABW,2022-04-01,727.0,0.0
ABW,2022-05-01,1871.0,1.0
ABW,2022-06-01,4154.0,8.0
ABW,2022-07-01,1362.0,3.0
ABW,2022-08-01,768.0,3.0
ABW,2022-09-01,297.0,3.0
ABW,2022-10-01,189.0,2.0
ABW,2022-11-01,307.0,4.0
ABW,2022-12-01,219.0,44.0
ABW,2023-01-01,133.0,1.0
ABW,2023-02-01,51.0,1.0
ABW,2023-03-01,70.0,5.0
ABW,2023-04-01,0.0,0.0
ABW,2023-05-01,66.0,1.0
AFG,2020-01-01,0.0,0.0
AFG,2020-02-01,1.0,0.0
AFG,2020-03-01,113.0,4.0
AFG,2020-04-01,1713.0,56.0
AFG,2020-05-01,12616.0,188.0
AFG,2020-06-01,16795.0,485.0
AFG,2020-07-01,5304.0,538.0
AFG,2020-08-01,1601.0,131.0
AFG,2020-09-01,1111.0,56.0
AFG,2020-10-01,2080.0,75.0
AFG,2020-11-01,4881.0,230.0
AFG,2020-12-01,6115.0,426.0
AFG,2021-01-01,2693.0,211.0
AFG,2021-02-01,691.0,43.0
AFG,2021-03-01,740.0,41.0
AFG,2021-04-01,3291.0,141.0
AFG,2021-05-01,12093.0,319.0
AFG,2021-06-01,46821.0,1927.0
AFG,2021-07-01,28495.0,1837.0
AFG,2021-08-01,6066.0,410.0
AFG,2021-09-01,1832.0,86.0
AFG,2021-10-01,1036.0,68.0
AFG,2021-11-01,1172.0,36.0
AFG,2021-12-01,799.0,48.0
AFG,2022-01-01,4081.0,53.0
AFG,2022-02-01,11255.0,184.0
AFG,2022-03-01,4299.0,72.0
AFG,2022-04-01,1179.0,18.0
AFG,2022-05-01,1390.0,20.0
AFG,2022-06-01,2167.0,19.0
AFG,2022-07-01,3150.0,25.0
AFG,2022-08-01,7670.0,30.0
AFG,2022-09-01,5817.0,22.0
AFG,2022-10-01,3926.0,22.0
AFG,2022-11-01,2837.0,12.0
AFG,2022-12-01,1724.0,16.0
AFG,2023-01-01,925.0,19.0
AFG,2023-02-01,843.0,11.0
AFG,2023-03-01,1153.0,3.0
AFG,2023-04-01,4405.0,10.0
AFG,2023-05-01,3840.0,16.0
AGO,2020-01-01,0.0,0.0
AGO,2020-02-01,0.0,0.0
AGO,2020-03-01,4.0,0.0
AGO,2020-04-01,23.0,0.0
AGO,2020-05-01,57.0,4.0
AGO,2020-06-01,192.0,7.0
AGO,2020-07-01,833.0,40.0
AGO,2020-08-01,1515.0,56.0
AGO,2020-09-01,2281.0,67.0
AGO,2020-10-01,5653.0,108.0
AGO,2020-11-01,4545.0,64.0
AGO,2020-12-01,2330.0,59.0
AGO,2021-01-01,2349.0,59.0
AGO,2021-02-01,1000.0,42.0
AGO,2021-03-01,1400.0,30.0
AGO,2021-04-01,4249.0,58.0
AGO,2021-05-01,7935.0,170.0
AGO,2021-06-01,4316.0,130.0
AGO,2021-07-01,3964.0,114.0
AGO,2021-08-01,4685.0,202.0
AGO,2021-09-01,9252.0,327.0
AGO,2021-10-01,7791.0,171.0
AGO,2021-11-01,781.0,25.0
AGO,2021-12-01,11632.0,24.0
AGO,2022-01-01,21289.0,138.0
AGO,2022-02-01,625.0,4.0
AGO,2022-03-01,437.0,1.0
AGO,2022-04-01,185.0,0.0
AGO,2022-05-01,516.0,0.0
AGO,2022-06-01,1481.0,0.0
AGO,2022-07-01,1155.0,16.0
AGO,2022-08-01,617.0,1.0
AGO,2022-09-01,138.0,0.0
