fecha,Año,Trimestre,Mes,Dia,AñoMes
2020-03-01,2020,Trim. 1,Marzo,1,202003
2020-03-02,2020,Trim. 1,Marzo,2,202003
2020-03-03,2020,Trim. 1,Marzo,3,202003
2020-03-04,2020,Trim. 1,Marzo,4,202003
2020-03-05,2020,Trim. 1,Marzo,5,202003
2020-03-06,2020,Trim. 1,Marzo,6,202003
2020-03-07,2020,Trim. 1,Marzo,7,202003
2020-03-08,2020,Trim. 1,Marzo,8,202003
2020-03-09,2020,Trim. 1,Marzo,9,202003
2020-03-10,2020,Trim. 1,Marzo,10,202003
2020-03-11,2020,Trim. 1,Marzo,11,202003
2020-03-12,2020,Trim. 1,Marzo,12,202003
2020-03-13,2020,Trim. 1,Marzo,13,202003
2020-03-14,2020,Trim. 1,Marzo,14,202003
2020-03-15,2020,Trim. 1,Marzo,15,202003
2020-03-16,2020,Trim. 1,Marzo,16,202003
2020-03-17,2020,Trim. 1,Marzo,17,202003
2020-03-18,2020,Trim. 1,Marzo,18,202003
2020-03-19,2020,Trim. 1,Marzo,19,202003
2020-03-20,2020,Trim. 1,Marzo,20,202003
2020-03-21,2020,Trim. 1,Marzo,21,202003
2020-03-22,2020,Trim. 1,Marzo,22,202003
2020-03-23,2020,Trim. 1,Marzo,23,202003
2020-03-24,2020,Trim. 1,Marzo,24,202003
2020-03-25,2020,Trim. 1,Marzo,25,202003
2020-03-26,2020,Trim. 1,Marzo,26,202003
2020-03-27,2020,Trim. 1,Marzo,27,202003
2020-03-28,2020,Trim. 1,Marzo,28,202003
2020-03-29,2020,Trim. 1,Marzo,29,202003
2020-03-30,2020,Trim. 1,Marzo,30,202003
2020-03-31,2020,Trim. 1,Marzo,31,202003
2020-04-01,2020,Trim. 2,Abril,1,202004
2020-04-02,2020,Trim. 2,Abril,2,202004
2020-04-03,2020,Trim. 2,Abril,3,202004
2020-04-04,2020,Trim. 2,Abril,4,202004
2020-04-05,2020,Trim. 2,Abril,5,202004
2020-04-06,2020,Trim. 2,Abril,6,202004
2020-04-07,2020,Trim. 2,Abril,7,202004
2020-04-08,2020,Trim. 2,Abril,8,202004
2020-04-09,2020,Trim. 2,Abril,9,202004
2020-04-10,2020,Trim. 2,Abril,10,202004
2020-04-11,2020,Trim. 2,Abril,11,202004
2020-04-12,2020,Trim. 2,Abril,12,202004
2020-04-13,2020,Trim. 2,Abril,13,202004
2020-04-14,2020,Trim. 2,Abril,14,202004
2020-04-15,2020,Trim. 2,Abril,15,202004
2020-04-16,2020,Trim. 2,Abril,16,202004
2020-04-17,2020,Trim. 2,Abril,17,202004
2020-04-18,2020,Trim. 2,Abril,18,202004
2020-04-19,2020,Trim. 2,Abril,19,202004
2020-04-20,2020,Trim. 2,Abril,20,202004
2020-04-21,2020,Trim. 2,Abril,21,202004
2020-04-22,2020,Trim. 2,Abril,22,202004
2020-04-23,2020,Trim. 2,Abril,23,202004
2020-04-24,2020,Trim. 2,Abril,24,202004
2020-04-25,2020,Trim. 2,Abril,25,202004
2020-04-26,2020,Trim. 2,Abril,26,202004
2020-04-27,2020,Trim. 2,Abril,27,202004
2020-04-28,2020,Trim. 2,Abril,28,202004
2020-04-29,2020,Trim. 2,Abril,29,202004
2020-04-30,2020,Trim. 2,Abril,30,202004
2020-05-01,2020,Trim. 2,Mayo,1,202005
2020-05-02,2020,Trim. 2,Mayo,2,202005
2020-05-03,2020,Trim. 2,Mayo,3,202005
2020-05-04,2020,Trim. 2,Mayo,4,202005
2020-05-05,2020,Trim. 2,Mayo,5,202005
2020-05-06,2020,Trim. 2,Mayo,6,202005
2020-05-07,2020,Trim. 2,Mayo,7,202005
2020-05-08,2020,Trim. 2,Mayo,8,202005
2020-05-09,2020,Trim. 2,Mayo,9,202005
2020-05-10,2020,Trim. 2,Mayo,10,202005
2020-05-11,2020,Trim. 2,Mayo,11,202005
2020-05-12,2020,Trim. 2,Mayo,12,202005
2020-05-13,2020,Trim. 2,Mayo,13,202005
2020-05-14,2020,Trim. 2,Mayo,14,202005
2020-05-15,2020,Trim. 2,Mayo,15,202005
2020-05-16,2020,Trim. 2,Mayo,16,202005
2020-05-17,2020,Trim. 2,Mayo,17,202005
2020-05-18,2020,Trim. 2,Mayo,18,202005
2020-05-19,2020,Trim. 2,Mayo,19,202005
2020-05-20,2020,Trim. 2,Mayo,20,202005
2020-05-21,2020,Trim. 2,Mayo,21,202005
