pais,paiscode,departamento,departamentocode,departamentoPais
PERU,PE,AMAZONAS,PE-AMA,"DEPARTAMENTO AMAZONAS, PERU"
PERU,PE,ANCASH,PE-ANC,"DEPARTAMENTO ANCASH, PERU"
PERU,PE,APURIMAC,PE-APU,"DEPARTAMENTO APURIMAC, PERU"
PERU,PE,AREQUIPA,PE-ARE,"DEPARTAMENTO AREQUIPA, PERU"
PERU,PE,AYACUCHO,PE-AYA,"DEPARTAMENTO AYACUCHO, PERU"
PERU,PE,CAJAMARCA,PE-CAJ,"DEPARTAMENTO CAJAMARCA, PERU"
PERU,PE,CALLAO,PE-CAL,"DEPARTAMENTO CALLAO, PERU"
PERU,PE,CUSCO,PE-CUS,"DEPARTAMENTO CUSCO, PERU"
PERU,PE,DESCONOCIDO,PE-XX,"DEPARTAMENTO DESCONOCIDO, PERU"
PERU,PE,HUANCAVELICA,PE-HUV,"DEPARTAMENTO HUANCAVELICA, PERU"
PERU,PE,HUANUCO,PE-HUC,"DEPARTAMENTO HUANUCO, PERU"
PERU,PE,ICA,PE-ICA,"DEPARTAMENTO ICA, PERU"
PERU,PE,JUNIN,PE-JUN,"DEPARTAMENTO JUNIN, PERU"
PERU,PE,LA LIBERTAD,PE-LAL,"DEPARTAMENTO LA LIBERTAD, PERU"
PERU,PE,LAMBAYEQUE,PE-LAM,"DEPARTAMENTO LAMBAYEQUE, PERU"
PERU,PE,LIMA,PE-LIM,"DEPARTAMENTO LIMA, PERU"
PERU,PE,LORETO,PE-LOR,"DEPARTAMENTO LORETO, PERU"
PERU,PE,MADRE DE DIOS,PE-MDD,"DEPARTAMENTO MADRE DE DIOS, PERU"
PERU,PE,MOQUEGUA,PE-MOQ,"DEPARTAMENTO MOQUEGUA, PERU"
PERU,PE,MUNICIPALIDAD METROPOLITANA DE LIMA,PE-LMA,"DEPARTAMENTO MUNICIPALIDAD METROPOLITANA DE LIMA, PERU"
PERU,PE,PASCO,PE-PAS,"DEPARTAMENTO PASCO, PERU"
PERU,PE,PIURA,PE-PIU,"DEPARTAMENTO PIURA, PERU"
PERU,PE,PUNO,PE-PUN,"DEPARTAMENTO PUNO, PERU"
PERU,PE,SAN MARTIN,PE-SAM,"DEPARTAMENTO SAN MARTIN, PERU"
PERU,PE,TACNA,PE-TAC,"DEPARTAMENTO TACNA, PERU"
PERU,PE,TUMBES,PE-TUM,"DEPARTAMENTO TUMBES, PERU"
PERU,PE,UCAYALI,PE-UCA,"DEPARTAMENTO UCAYALI, PERU"
